Category,Message,Message_Length
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,82
0,ok lar joking wif u oni,23
1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,107
0,u dun say early hor u c already say,35
0,nah dont think goes usf lives around though,43
1,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send å rcv,83
0,even brother like speak treat like aids patent,46
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,111
1,winner valued network customer selected receivea å prize reward claim call claim code kl valid hours,100
1,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,94
0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today,81
1,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info,83
1,urgent week free membership å prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,93
0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,111
0,date sunday,11
1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,111
0,oh kim watching,15
0,eh u remember spell name yes v naughty make v wet,49
0,fine thatåõs way u feel thatåõs way gota b,42
1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtì¼ poboxoxwwq,111
0,seriously spell name,20
0,iûm going try months ha ha joking,33
0,ì_ pay first lar da stock comin,31
0,aft finish lunch go str lor ard smth lor u finish ur lunch already,66
0,ffffffffff alright way meet sooner,34
0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,93
0,lol always convincing,21
0,catch bus frying egg make tea eating moms left dinner feel love,63
0,im back amp packing car ill let know theres room,48
0,ahhh work vaguely remember feel like lol,40
0,wait thats still clear sure sarcastic thats x doesnt want live us,65
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers,91
0,k tell anything,15
0,fear fainting housework quick cuppa,35
1,thanks subscription ringtone uk mobile charged åmonth please confirm replying yes reply charged,95
0,yup ok go home look timings msg ì_ xuhui going learn nd may lesson,66
0,oops ill let know roommates done,32
0,see letter b car,16
0,anything lor u decide,21
0,hello hows saturday go texting see youd decided anything tomo im trying invite anything,87
0,pls go ahead watts wanted sure great weekend abiola,51
0,forget tell want need crave love sweet arabian steed mmmmmm yummy,65
1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,100
0,seeing,6
0,great hope like man well endowed ltgt inches,44
0,callsmessagesmissed calls,25
0,didnt get hep b immunisation nigeria,36
0,fair enough anything going,26
0,yeah hopefully tyler cant could maybe ask around bit,52
0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,104
0,thinked first time saw class,28
0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,89
0,k fyi x ride early tomorrow morning hes crashing place tonight,62
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,167
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,100
0,know mallika sherawat yesterday find lturlgt,44
1,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,95
0,sorry ill call later meeting,28
0,tell reached,12
0,yesgauti sehwag odi series,26
0,gon na pick burger way home cant even move pain killing,55
0,ha ha ha good joke girls situation seekers,42
0,part checking iq,16
0,sorry roommates took forever ok come,36
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,87
1,valued customer pleased advise following recent review mob awarded å bonus prize call,85
0,today song dedicated day song u dedicate send ur valuable frnds first rply,74
1,urgent ur awarded complimentary trip eurodisinc trav acoentry å claim txt dis åmorefrmmob shracomorsglsuplt ls aj,113
1,hear new divorce barbie comes kens stuff,40
0,plane give month end,20
0,wah lucky man save money hee,28
0,finished class,14
0,hi babe im home wan na something xx,35
0,kkwhere youhow performed,24
0,u call,6
0,waiting machan call free,24
0,thats cool gentleman treat dignity respect,42
0,like peoples much shy pa,24
0,operate ltgt,12
0,still looking job much tas earn,31
0,sorry ill call later,20
0,k call ah,9
0,ok way home hi hi,17
0,place man,9
0,yup next stop,13
0,call later dont network urgnt sms,33
0,real u getting yo need tickets one jacket im done already used multis,69
0,yes started send requests make pain came back im back bed double coins factory got ta cash nitros,97
0,im really still tonight babe,28
0,ela kanoil download come wen ur free,36
0,yeah donût stand close tho youûll catch something,49
0,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry,117
0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,119
1,please call customer service representative ampm guaranteed å cash å prize,74
0,havent planning buy later check already lido got show e afternoon u finish work already,87
1,free ringtone waiting collected simply text password mix verify get usher britney fml,85
0,watching telugu moviewat abt u,30
0,see finish loads loans pay,26
0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,113
0,please dont text anymore nothing else say,41
0,okay name ur price long legal wen pick u ave x ams xx,53
0,im still looking car buy gone driving test yet,46
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,111
0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,128
0,umma life vava umma love lot dear,33
0,thanks lot wishes birthday thanks making birthday truly memorable,65
0,aight ill hit get cash,22
0,would ip address test considering computer isnt minecraft server,64
0,know grumpy old people mom like better lying always one play jokes,66
0,dont worry guess hes busy,25
0,plural noun research,20
0,going dinnermsg,15
0,im ok wif cos like try new things scared u dun like mah cos u said loud,71
1,gent trying contact last weekends draw shows å prize guaranteed call claim code k valid hrs ppm,95
0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,109
0,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,90
1,winner u specially selected receive å holiday flights inc speak live operator claim pmin,88
